id,curr_year,promotion_date,status,duration,created_at,updated_at,modified_by_id,student_id
2091,2,,promoted,3,,2025-08-05 07:56:31.936920+00:00,,10681
2074,2,,promoted,3,,2025-08-05 07:57:52.402461+00:00,,10664
2075,2,,promoted,2,,2025-08-16 07:43:28.901759+00:00,,10665
1708,2,,promoted,2,,,,10298
1711,2,,promoted,2,,,,10301
1717,2,,promoted,2,,,,10307
1719,2,,promoted,2,,,,10309
1672,2,,promoted,2,,,,10262
1697,2,,promoted,2,,,,10287
2116,1,,new_admission,3,,,,10706
2117,1,,new_admission,2,,,,10707
2124,1,,new_admission,1,,,,10714
2126,1,,new_admission,4,,,,10716
2127,1,,new_admission,3,,,,10717
2134,1,,new_admission,4,,,,10724
2135,1,,new_admission,4,,,,10725
2137,1,,new_admission,3,,,,10727
2139,1,,new_admission,2,,,,10729
2141,1,,new_admission,4,,,,10731
2146,1,,new_admission,2,,,,10736
2147,1,,new_admission,4,,,,10737
2151,1,,new_admission,2,,,,10741
2155,1,,new_admission,4,,,,10745
2159,1,,new_admission,3,,,,10749
2160,1,,new_admission,3,,,,10750
2162,1,,new_admission,4,,,,10752
2168,1,,new_admission,2,,,,10758
2170,1,,new_admission,2,,,,10760
2171,1,,new_admission,3,,,,10761
2172,1,,new_admission,2,,,,10762
2178,1,,new_admission,2,,,,10768
2191,1,,new_admission,4,,,,10781
2192,1,,new_admission,2,,,,10782
2194,1,,new_admission,2,,,,10784
2195,1,,new_admission,2,,,,10785
2199,1,,new_admission,2,,,,10789
2203,1,,new_admission,2,,,,10793
2142,2,,promoted,2,,2025-03-27 09:13:51.960631+00:00,,10732
2125,2,,promoted,2,,2025-03-27 09:18:19.887145+00:00,,10715
2212,2,,promoted,2,,2025-04-23 07:45:38.918935+00:00,,10802
2190,2,,promoted,4,,2025-05-05 06:55:20.454277+00:00,,10780
2182,2,,promoted,2,,2025-05-06 05:02:17.964360+00:00,,10772
2130,2,,promoted,3,,2025-05-08 05:50:57.618676+00:00,,10720
2205,2,,graduated,2,,2025-04-08 10:10:22.474398+00:00,,10795
2181,2,,graduated,2,,2025-04-08 10:10:23.892927+00:00,,10771
2132,2,,promoted,2,,2025-04-08 10:10:26.014247+00:00,,10722
2150,2,,promoted,2,,2025-04-08 10:10:26.850961+00:00,,10740
2202,2,,promoted,2,,2025-04-08 10:10:28.389578+00:00,,10792
2175,2,,promoted,2,,2025-04-08 10:10:34.458761+00:00,,10765
2136,2,,promoted,2,,2025-04-08 10:12:20.395683+00:00,,10726
2211,2,,promoted,3,,2025-04-19 06:07:55.886397+00:00,,10801
2185,2,,promoted,4,,2025-05-12 07:47:19.418184+00:00,,10775
2209,2,,promoted,4,,2025-05-12 07:47:20.732229+00:00,,10799
2131,2,,promoted,4,,2025-05-12 07:47:23.264711+00:00,,10721
2163,2,,promoted,4,,2025-05-12 07:47:24.334584+00:00,,10753
2165,2,,promoted,4,,2025-05-12 07:47:24.654582+00:00,,10755
2128,2,,promoted,4,,2025-05-12 07:47:25.584749+00:00,,10718
2207,2,,promoted,4,,2025-05-12 07:49:55.034111+00:00,,10797
2156,2,,promoted,4,,2025-05-12 07:49:56.357510+00:00,,10746
2154,2,,promoted,4,,2025-05-12 07:49:58.580305+00:00,,10744
2138,2,,promoted,3,,2025-05-12 07:51:24.960972+00:00,,10728
2189,2,,promoted,3,,2025-05-12 07:51:26.955833+00:00,,10779
2158,2,,promoted,3,,2025-05-12 07:52:27.676662+00:00,,10748
2179,2,,promoted,3,,2025-05-12 07:52:31.036839+00:00,,10769
2114,2,,promoted,3,,2025-05-12 07:52:31.386183+00:00,,10704
2152,2,,promoted,4,,2025-05-12 07:54:51.606367+00:00,,10742
2187,2,,promoted,4,,2025-05-12 07:54:51.973697+00:00,,10777
2122,2,,promoted,2,,2025-05-13 07:38:53.281852+00:00,,10712
2120,2,,promoted,3,,2025-05-15 06:04:25.572941+00:00,,10710
2161,2,,promoted,4,,2025-05-19 06:19:21.772349+00:00,,10751
2186,2,,promoted,2,,2025-05-19 07:09:57.006151+00:00,,10776
2148,2,,promoted,4,,2025-05-19 08:48:59.530718+00:00,,10738
2180,2,,promoted,4,,2025-05-19 10:31:25.973193+00:00,,10770
2167,2,,promoted,3,,2025-05-20 07:40:13.542292+00:00,,10757
2119,2,,promoted,2,,2025-05-24 05:27:03.592613+00:00,,10709
2188,2,,promoted,2,,2025-05-27 04:49:33.490117+00:00,,10778
2173,2,,promoted,4,,2025-05-28 04:52:27.162378+00:00,,10763
2196,2,,promoted,2,,2025-05-28 10:39:25.400334+00:00,,10786
2210,2,,promoted,2,,2025-05-30 06:20:39.101433+00:00,,10800
2198,2,,promoted,2,,2025-06-04 08:41:07.579622+00:00,,10788
2133,2,,promoted,2,,2025-06-06 05:34:15.323491+00:00,,10723
2174,2,,promoted,4,,2025-06-06 07:31:51.705177+00:00,,10764
2184,2,,promoted,3,,2025-06-06 10:36:45.039162+00:00,,10774
2149,2,,promoted,2,,2025-06-09 05:08:23.077419+00:00,,10739
2140,2,,promoted,4,,2025-06-09 05:48:56.466529+00:00,,10730
2206,2,,promoted,4,,2025-06-21 04:13:04.979042+00:00,,10796
2123,2,,promoted,4,,2025-06-25 07:50:12.983121+00:00,,10713
2177,2,,promoted,4,,2025-06-30 10:15:42.599702+00:00,,10767
2218,1,,new_admission,2,,,,10808
2220,1,,new_admission,3,,,,10810
2221,2,,promoted,4,,,,10811
2223,1,,new_admission,3,,,,10813
2226,1,,new_admission,2,,,,10816
2230,1,,new_admission,3,,,,10820
2231,1,,new_admission,3,,,,10821
2232,1,,new_admission,2,,,,10822
2236,1,,new_admission,1,,,,10826
2237,1,,new_admission,4,,,,10827
2238,1,,new_admission,2,,,,10828
2239,1,,new_admission,2,,,,10829
2240,1,,new_admission,4,,,,10830
2242,1,,new_admission,3,,,,10832
2243,1,,new_admission,3,,,,10833
2246,1,,new_admission,4,,,,10836
2247,1,,new_admission,4,,,,10837
2248,1,,new_admission,4,,,,10838
2254,1,,new_admission,4,,,,10844
2257,1,,new_admission,4,,,,10847
2259,1,,new_admission,3,,,,10849
2263,1,,new_admission,2,,,,10853
2267,1,,new_admission,4,,,,10857
2269,1,,new_admission,2,,,,10859
2271,1,,new_admission,4,,,,10861
2277,1,,new_admission,3,,,,10867
2279,1,,new_admission,4,,,,10869
2285,1,,new_admission,4,,,,10875
2286,1,,new_admission,2,,,,10876
2291,1,,new_admission,2,,,,10881
2297,1,,new_admission,2,,,,10887
2299,1,,new_admission,3,,,,10889
2301,1,,new_admission,4,,,,10891
2302,1,,new_admission,3,,,,10892
2303,1,,new_admission,2,,,,10893
2307,1,,new_admission,4,,,,10897
2311,1,,new_admission,4,,,,10901
2315,1,,new_admission,2,,,,10905
2317,1,,new_admission,2,,,,10907
2318,1,,new_admission,3,,,,10908
2319,1,,new_admission,2,,,,10909
2255,2,,promoted,2,,2025-04-08 10:10:29.834511+00:00,,10845
2235,2,,promoted,2,,2025-04-08 10:10:30.195209+00:00,,10825
2250,2,,promoted,2,,2025-04-08 10:10:31.175644+00:00,,10840
2284,2,,promoted,4,,2025-05-01 05:35:39.070692+00:00,,10874
2272,2,,promoted,2,,2025-05-07 04:06:12.344758+00:00,,10862
2224,2,,promoted,4,,2025-05-12 07:47:22.733587+00:00,,10814
2229,2,,promoted,4,,2025-05-12 07:47:23.000472+00:00,,10819
2316,2,,promoted,4,,2025-05-12 07:47:23.529538+00:00,,10906
2282,2,,promoted,4,,2025-05-12 07:47:23.799090+00:00,,10872
2251,2,,promoted,4,,2025-05-12 07:47:26.006659+00:00,,10841
2314,2,,promoted,4,,2025-05-12 07:47:26.763459+00:00,,10904
2244,2,,promoted,4,,2025-05-12 07:49:55.362086+00:00,,10834
2273,2,,promoted,4,,2025-05-12 07:49:55.699935+00:00,,10863
2309,2,,promoted,3,,2025-05-12 07:50:38.285878+00:00,,10899
2295,2,,promoted,3,,2025-05-12 07:50:40.631987+00:00,,10885
2249,2,,promoted,3,,2025-05-12 07:52:28.004318+00:00,,10839
2278,2,,promoted,3,,2025-05-12 07:52:29.831832+00:00,,10868
2258,2,,promoted,3,,2025-05-12 07:53:18.163036+00:00,,10848
2264,2,,promoted,3,,2025-05-12 07:53:19.396135+00:00,,10854
2216,2,,promoted,4,,2025-05-12 07:54:54.508351+00:00,,10806
2300,2,,promoted,4,,2025-05-12 07:54:55.173199+00:00,,10890
2222,2,,promoted,4,,2025-05-12 07:54:56.031330+00:00,,10812
2262,2,,promoted,2,,2025-05-13 04:55:32.132304+00:00,,10852
2217,2,,promoted,2,,2025-05-13 07:15:14.699891+00:00,,10807
2321,2,,promoted,3,,2025-05-16 07:17:15.712200+00:00,,10911
2274,2,,promoted,4,,2025-05-19 07:52:09.873451+00:00,,10864
2288,2,,promoted,2,,2025-05-19 08:50:04.910681+00:00,,10878
2292,2,,promoted,4,,2025-05-22 07:47:46.772046+00:00,,10882
2298,2,,promoted,4,,2025-05-23 04:48:40.122977+00:00,,10888
2304,2,,promoted,2,,2025-05-27 04:48:17.975149+00:00,,10894
2219,2,,promoted,4,,2025-05-30 04:57:14.049931+00:00,,10809
2310,2,,promoted,2,,2025-05-30 07:48:42.129431+00:00,,10900
2268,2,,promoted,3,,2025-05-30 08:37:20.581427+00:00,,10858
2287,2,,promoted,4,,2025-05-31 04:54:33.301895+00:00,,10877
2312,2,,promoted,4,,2025-05-31 05:36:19.434065+00:00,,10902
2289,2,,promoted,2,,2025-06-02 07:57:39.418740+00:00,,10879
2313,2,,promoted,4,,2025-06-02 08:04:36.768447+00:00,,10903
2215,2,,promoted,2,,2025-06-05 05:13:59.813647+00:00,,10805
2308,2,,promoted,2,,2025-06-05 05:53:05.981722+00:00,,10898
2305,2,,promoted,4,,2025-06-06 07:44:12.323321+00:00,,10895
2280,2,,promoted,2,,2025-06-06 09:55:27.219961+00:00,,10870
2320,2,,promoted,2,,2025-06-09 09:32:23.131265+00:00,,10910
2253,2,,promoted,4,,2025-06-16 08:11:10.389270+00:00,,10843
2252,2,,promoted,4,,2025-06-21 07:38:59.247203+00:00,,10842
2261,2,,promoted,2,,2025-08-05 07:56:31.459556+00:00,,10851
2260,2,,promoted,2,,2025-08-05 07:56:32.435560+00:00,,10850
2233,2,,promoted,2,,2025-08-05 08:14:17.589769+00:00,,10823
2283,2,,promoted,4,,2025-08-05 08:14:18.881019+00:00,,10873
2256,2,,promoted,4,,2025-08-05 08:14:21.586312+00:00,,10846
2234,2,,promoted,2,,2025-08-05 08:14:22.230294+00:00,,10824
2225,2,,promoted,2,,2025-08-18 06:54:49.266867+00:00,,10815
2306,2,,promoted,4,,2025-08-29 06:07:53.540735+00:00,,10896
2323,1,,new_admission,2,,,,10913
2327,1,,new_admission,3,,,,10917
2329,1,,new_admission,3,,,,10919
2330,1,,new_admission,4,,,,10920
2331,1,,new_admission,3,,,,10921
2332,1,,new_admission,2,,,,10922
