id,remarks
23288,ID 9238
23362,PH PAY 16/12/24 (35K)
23347,PH PAY QR CODE 17/12/2024 (6126)
23503,ID 4887
23165,PH PAY 9/12/24
23468,PH PAY QR CODE 26/12/2024 (3238)
22798,ID 6872
22939,PH PAY QR CODE (30/11/2024) (4858)
23435,ID 1890
23615,PH PAY QR CODE (10000) 5000 27/01/2025
22762,ID 5566
23193,PH PAY 11/12/24
22902,PH PAY ID 5608
21233,ID 7162
24706,ph pay 22/5/25
21637,** PROVISIONAL ADMISSION
22264,ACMT QR
22578,ID 1932
22154,ID 9266
20571,R# 9911
23014,ID 7240
22193,HDFC QR CODE ACMT 23/08/2024
22373,"ID 5247 , 3966 (3500+6500)"
22351,HDFC QR CODE 05/09/2024 (AIMT)
23618,PH PAY QR CODE 28/01/2025 (7830)
22799,PH PAY QR CODE 21/11/2024
22380,ID 8953
22311,HDFC QR CODE NIAE 02/09/2024
22710,ID 9050
23289,ID 2211
23399,ID 4937
22425,NIAE HDFC
22675,HDFC QR AIMT 19/9/24
23128,AC 9374 5/12/24
23051,ID 1772
20508,"R# 1587,1763,1779"
23504,PH PAY QR CODE 2/1/2024
22862,PH PAY QR CODE 26/11/2024 (7008)
23436,PH PAY QR CODE 21/12/2024
23469,ID 8538
22545,ID 3269
22830,ID 9411
23639,PH PAY QR CODE 30/01/2025
24770,PH PAY 2K+1K 22/5/25
22940,PH PAY QR CODE (65000) AND (50000) (20000) 30/11/2024
20873,PROVISIONAL ADMISSION
22064,PH PAY QR CODE (30000) 10000 12/08/2024
22155,ID 6826
22228,ACMT QR
23896,PH PAY QR CODE 26/03/2025
22352,AC 0822 23/6/24
22467,ID 5681
22500,AC NIAE 19/9/24 62K 5K EXTRA
22265,HDFC QR CODE 28/08/2024 (7911)
22381,ID 9718
22426,CHQ 594549
22312,HDFC QR CODE NIAE 02/09/2024
23437,ID 8093
22676,ID 7793
20657,10119
22636,ph pay 22/10/24 provisional admission
22194,ID 9768
22579,ID 7946
22863,PH PAY QR CODE (0614) 26/11/2024
22546,ACMT QR 20K
23129,ID 8743
23332,PH PAY QR CODE 16/12/2024
22941,PH PAY QR CODE (50000) (20000) 30/11/2024
20686,9965
21829,old r#10650
23246,PH PAY QR CODE 14/12/2024 (5663)
22980,ID 1889
23091,ID 8482
23015,ID 7079
22903,ID 4829
23195,PH PAY QR CODE 12/12/2024 (8316)
22831,PH PAY QR CODE 22/11/2024
24707,id 0621
23569,PH PAY ID 2966 PROVISIONAL ADMISSION
22156,ID 4928
22427,AC 0882 14/9/24
23570,**
22468,ID 1791
22266,HDFC QR CODE 28/08/2024
23291,ID 7518
22353,ID 4827
22637,OLD R# 1964
22065,PH PAY 30K 12/8/24
22547,ACMT QR 20K
23506,ID 3092
21855,ID 5591 (5K) + CASH 5K PROVISIONAL ADMISSION
22094,PH PAY QR CODE 5/08/2024
22677,ID 3777
22279,NEFT BY 29/08/2024 10569 (PNB) ACC (85000)
